Customer ID,Customer Name,Segment,City,State,Country,Market,Region
DW-3540,Don Weiss,Consumer,Taizz,Ta'izz,Yemen,EMEA,EMEA
TS-11205,Thomas Seio,Corporate,Ardabil,Ardabil,Iran,EMEA,EMEA
DJ-3420,Denny Joy,Corporate,Cairo,Al Qahirah,Egypt,Africa,Africa
CJ-2010,Caroline Jumper,Consumer,Coquitlam,British Columbia,Canada,Canada,Canada
HR-4830,Harold Ryan,Corporate,Izmir,Izmir,Turkey,EMEA,EMEA
RM-9375,Raymond Messe,Consumer,Izmir,Izmir,Turkey,EMEA,EMEA
AB-600,Ann Blume,Corporate,Bytom,Silesia,Poland,EMEA,EMEA
NZ-8565,Nick Zandusky,Home Office,Baghdad,Baghdad,Iraq,EMEA,EMEA
DB-3555,Dorothy Badders,Corporate,Ankara,Ankara,Turkey,EMEA,EMEA
MC-7590,Matt Collister,Corporate,Bamenda,Nord-Ouest,Cameroon,Africa,Africa
CD-2790,Cynthia Delaney,Home Office,Nairobi,Nairobi,Kenya,Africa,Africa
GB-4530,George Bell,Corporate,Kumba,Sud-Ouest,Cameroon,Africa,Africa
SS-10875,Sung Shariari,Consumer,Istanbul,Istanbul,Turkey,EMEA,EMEA
MA-7560,Matt Abelman,Home Office,Lodz,Lodz,Poland,EMEA,EMEA
TB-11055,Ted Butterfield,Consumer,Kano,Kano,Nigeria,Africa,Africa
EB-3750,Edward Becker,Corporate,Termez,Surxondaryo,Uzbekistan,EMEA,EMEA
LH-7155,Logan Haushalter,Consumer,Mississauga,Ontario,Canada,Canada,Canada
RM-9750,Roland Murray,Consumer,Basra,Al Basrah,Iraq,EMEA,EMEA
RS-9420,Ricardo Sperren,Corporate,Winnipeg,Manitoba,Canada,Canada,Canada
RH-9555,Ritsa Hightower,Consumer,Stara Zagora,Stara Zagora,Bulgaria,EMEA,EMEA
SC-10800,Stuart Calhoun,Consumer,Kermanshah,Kermanshah,Iran,EMEA,EMEA
LS-6975,Lindsay Shagiari,Home Office,Mersin,Mersin,Turkey,EMEA,EMEA
LO-7170,Lori Olson,Corporate,Panevezys,Panevezys,Lithuania,EMEA,EMEA
MH-7785,Maya Herman,Corporate,Sale,Rabat-Salé-Zemmour-Zaer,Morocco,Africa,Africa
DP-3000,Darren Powers,Consumer,Antalya,Antalya,Turkey,EMEA,EMEA
MH-8115,Mick Hernandez,Home Office,Antananarivo,Analamanga,Madagascar,Africa,Africa
TB-11400,Tom Boeckenhauer,Consumer,Liberec,Liberec,Czech Republic,EMEA,EMEA
SV-10935,Susan Vittorini,Consumer,Ilesha,Osun,Nigeria,Africa,Africa
AA-375,Allen Armold,Consumer,Montréal,Quebec,Canada,Canada,Canada
NF-8475,Neil Französisch,Home Office,Izmir,Izmir,Turkey,EMEA,EMEA
VM-11835,Vivian Mathis,Consumer,Kinshasa,Kinshasa,Democratic Republic of the Congo,Africa,Africa
DB-3660,Duane Benoit,Consumer,Istanbul,Istanbul,Turkey,EMEA,EMEA
KD-6270,Karen Daniels,Consumer,Izmir,Izmir,Turkey,EMEA,EMEA
MG-8145,Mike Gockenbach,Consumer,Lubumbashi,Katanga,Democratic Republic of the Congo,Africa,Africa
LC-6930,Linda Cazamias,Corporate,Alexandria,Al Iskandariyah,Egypt,Africa,Africa
SH-10395,Shahid Hopkins,Consumer,Bishkek,Bishkek,Kyrgyzstan,EMEA,EMEA
AH-465,Amy Hunt,Consumer,Akhisar,Manisa,Turkey,EMEA,EMEA
BD-1605,Brian Dahlen,Consumer,Holon,Tel Aviv,Israel,EMEA,EMEA
JE-5610,Jim Epp,Corporate,Lagos,Lagos,Nigeria,Africa,Africa
JB-6045,Julia Barnett,Home Office,Cairo,Al Qahirah,Egypt,Africa,Africa
NC-8415,Nathan Cano,Consumer,L'viv,L'viv,Ukraine,EMEA,EMEA
CM-2190,Charlotte Melton,Consumer,Gyor,Gyor,Hungary,EMEA,EMEA
PG-8820,Patrick Gardner,Consumer,Astrakhan',Astrakhan',Russia,EMEA,EMEA
AS-90,Adam Shillingsburg,Consumer,Cape Town,Western Cape,South Africa,Africa,Africa
CT-1995,Carol Triggs,Consumer,Donets'k,Donetsk,Ukraine,EMEA,EMEA
CC-2550,Clay Cheatham,Consumer,Ibadan,Oyo,Nigeria,Africa,Africa
NP-8685,Nora Pelletier,Home Office,Pretoria,Gauteng,South Africa,Africa,Africa
LH-6900,Lena Hernandez,Consumer,Luanda,Luanda,Angola,Africa,Africa
VG-11790,Vivek Gonzalez,Consumer,Cairo,Al Qahirah,Egypt,Africa,Africa
IM-5070,Irene Maddox,Consumer,Kocaeli,Kocaeli,Turkey,EMEA,EMEA
FH-4275,Frank Hawley,Corporate,Arbil,Arbil,Iraq,EMEA,EMEA
SH-10635,Stefanie Holloman,Corporate,Chisinau,Chisinau,Moldova,EMEA,EMEA
TW-11025,Tamara Willingham,Home Office,Lagos,Lagos,Nigeria,Africa,Africa
AS-45,Aaron Smayling,Corporate,Cape Town,Western Cape,South Africa,Africa,Africa
MC-7845,Michael Chen,Consumer,Katowice,Silesia,Poland,EMEA,EMEA
JC-5340,Jasper Cacioppo,Consumer,Varna,Varna,Bulgaria,EMEA,EMEA
JL-5235,Janet Lee,Consumer,Laval,Quebec,Canada,Canada,Canada
TN-11040,Tanja Norvell,Home Office,Bagamoyo,Pwani,Tanzania,Africa,Africa
TB-11520,Tracy Blumstein,Consumer,Mombasa,Coast,Kenya,Africa,Africa
SU-10665,Stephanie Ulpright,Home Office,Riyadh,Ar Riyad,Saudi Arabia,EMEA,EMEA
YS-11880,Yana Sorensen,Corporate,Sanandaj,Kordestan,Iran,EMEA,EMEA
PF-9165,Philip Fox,Consumer,Boghni,Tizi Ouzou,Algeria,Africa,Africa
LH-6750,Larry Hughes,Consumer,Kinshasa,Kinshasa,Democratic Republic of the Congo,Africa,Africa
SM-10905,Susan MacKendrick,Consumer,Koidu,Eastern,Sierra Leone,Africa,Africa
LM-7065,Liz MacKendrick,Consumer,Constantine,Constantine,Algeria,Africa,Africa
LC-7140,Logan Currie,Consumer,Zhlobin,Homyel',Belarus,EMEA,EMEA
RC-9825,Roy Collins,Consumer,Budapest,Budapest,Hungary,EMEA,EMEA
KT-6480,Kean Thornton,Consumer,Cairo,Al Qahirah,Egypt,Africa,Africa
MH-7290,Marc Harrigan,Home Office,Nampula,Nampula,Mozambique,Africa,Africa
JF-5490,Jeremy Farry,Consumer,Ivano-Frankivs'k,Ivano-Frankivsk,Ukraine,EMEA,EMEA
JM-5250,Janet Martin,Consumer,Kaduna,Kaduna,Nigeria,Africa,Africa
HG-4965,Henry Goldwyn,Corporate,Van,Van,Turkey,EMEA,EMEA
PO-8865,Patrick O'Donnell,Consumer,Guelma,Guelma,Algeria,Africa,Africa
BF-1005,Barry Franz,Home Office,Almaty,Almaty City,Kazakhstan,EMEA,EMEA
AT-435,Alyssa Tate,Home Office,Gdansk,Pomerania,Poland,EMEA,EMEA
AG-390,Allen Goldenen,Consumer,Kayseri,Kayseri,Turkey,EMEA,EMEA
CC-2670,Craig Carreira,Consumer,Beirut,Beirut,Lebanon,EMEA,EMEA
KC-6675,Kimberly Carter,Corporate,Johannesburg,Gauteng,South Africa,Africa,Africa
EH-3990,Erica Hackney,Consumer,Kananga,Kasai-Occidental,Democratic Republic of the Congo,Africa,Africa
AG-300,Aleksandra Gannaway,Corporate,Istanbul,Istanbul,Turkey,EMEA,EMEA
RM-9675,Robert Marley,Home Office,Uskudar,Istanbul,Turkey,EMEA,EMEA
JM-6195,Justin MacKendrick,Consumer,Istanbul,Istanbul,Turkey,EMEA,EMEA
AB-165,Alan Barnes,Consumer,Hamilton,Ontario,Canada,Canada,Canada
TB-11280,Toby Braunhardt,Consumer,Khorramshahr,Khuzestan,Iran,EMEA,EMEA
JL-5835,John Lee,Consumer,Baku,Baki,Azerbaijan,EMEA,EMEA
EA-4035,Erin Ashbrook,Corporate,Kermanshah,Kermanshah,Iran,EMEA,EMEA
DL-3330,Denise Leinenbach,Consumer,Brampton,Ontario,Canada,Canada,Canada
JS-6030,Joy Smith,Consumer,Kitchener,Ontario,Canada,Canada,Canada
DM-3525,Don Miller,Corporate,Abadan,Khuzestan,Iran,EMEA,EMEA
RH-9510,Rick Huthwaite,Home Office,Cairo,Al Qahirah,Egypt,Africa,Africa
CM-2715,Craig Molinari,Corporate,Ad Diwaniyah,Al Qadisiyah,Iraq,EMEA,EMEA
JL-5850,John Lucas,Consumer,Ebolowa,Sud,Cameroon,Africa,Africa
JD-5790,John Dryer,Consumer,Iringa,Iringa,Tanzania,Africa,Africa
MH-7440,Mark Haberlin,Corporate,Basra,Al Basrah,Iraq,EMEA,EMEA
ML-7395,Marina Lichtenstein,Corporate,Skikda,Skikda,Algeria,Africa,Africa
FP-4320,Frank Preis,Consumer,Alexandria,Al Iskandariyah,Egypt,Africa,Africa
JL-5505,Jeremy Lonsdale,Consumer,Mombasa,Coast,Kenya,Africa,Africa
LR-6915,Lena Radford,Consumer,Gorgan,Golestan,Iran,EMEA,EMEA
SM-10320,Sean Miller,Home Office,Salihli,Manisa,Turkey,EMEA,EMEA
MB-7305,Maria Bertelson,Consumer,Kinshasa,Kinshasa,Democratic Republic of the Congo,Africa,Africa
TH-11115,Thea Hudgings,Corporate,Cape Town,Western Cape,South Africa,Africa,Africa
JS-5595,Jill Stevenson,Corporate,Izmir,Izmir,Turkey,EMEA,EMEA
JC-6105,Julie Creighton,Corporate,Izmir,Izmir,Turkey,EMEA,EMEA
TA-11385,Tom Ashbrook,Home Office,Lusaka,Lusaka,Zambia,Africa,Africa
NW-8400,Natalie Webber,Consumer,North York,Ontario,Canada,Canada,Canada
EH-4185,Evan Henry,Consumer,Musoma,Mara,Tanzania,Africa,Africa
AB-60,Adam Bellavance,Home Office,Baghdad,Baghdad,Iraq,EMEA,EMEA
SS-10515,Shirley Schmidt,Home Office,Varamin,Tehran,Iran,EMEA,EMEA
BF-1080,Bart Folk,Consumer,Lagos,Lagos,Nigeria,Africa,Africa
DB-3120,David Bremer,Corporate,Sale,Rabat-Salé-Zemmour-Zaer,Morocco,Africa,Africa
XP-11865,Xylona Preis,Consumer,Rabat,Rabat-Salé-Zemmour-Zaer,Morocco,Africa,Africa
MC-7635,Matthew Clasen,Corporate,Istanbul,Istanbul,Turkey,EMEA,EMEA
MO-7950,Michael Oakman,Consumer,Fes,Fès-Boulemane,Morocco,Africa,Africa
RB-9795,Ross Baird,Home Office,Chisinau,Chisinau,Moldova,EMEA,EMEA
VF-11715,Vicky Freymann,Home Office,Kananga,Kasai-Occidental,Democratic Republic of the Congo,Africa,Africa
SF-10200,Sarah Foster,Consumer,Bursa,Bursa,Turkey,EMEA,EMEA
MH-8025,Michelle Huthwaite,Consumer,Zaria,Kaduna,Nigeria,Africa,Africa
LE-6810,Laurel Elliston,Consumer,Vienna,Vienna,Austria,EMEA,EMEA
MN-7935,Michael Nguyen,Consumer,Kopeysk,Chelyabinsk,Russia,EMEA,EMEA
EM-4200,Evan Minnotte,Home Office,Izmir,Izmir,Turkey,EMEA,EMEA
TS-11370,Todd Sumrall,Corporate,Melitopol',Zaporizhzhya,Ukraine,EMEA,EMEA
JE-5715,Joe Elijah,Consumer,Kampala,Kampala,Uganda,Africa,Africa
BD-1560,Brendan Dodson,Home Office,Kano,Kano,Nigeria,Africa,Africa
FM-4380,Fred McMath,Consumer,Ruda Slaska,Silesia,Poland,EMEA,EMEA
DM-2955,Dario Medina,Corporate,Bukavu,South Kivu,Democratic Republic of the Congo,Africa,Africa
JO-5550,Jesus Ocampo,Home Office,Brasov,Brasov,Romania,EMEA,EMEA
JP-6135,Julie Prescott,Home Office,Beirut,Beirut,Lebanon,EMEA,EMEA
BF-975,Barbara Fisher,Corporate,Ad Diwem,White Nile,Sudan,Africa,Africa
JD-6060,Julia Dunbar,Consumer,Lagos,Lagos,Nigeria,Africa,Africa
BW-1065,Barry Weirich,Consumer,Kananga,Kasai-Occidental,Democratic Republic of the Congo,Africa,Africa
TP-11415,Tom Prescott,Consumer,Warri,Delta,Nigeria,Africa,Africa
BM-1785,Bryan Mills,Consumer,Bishkek,Bishkek,Kyrgyzstan,EMEA,EMEA
JM-5535,Jessica Myrick,Consumer,Jerusalem,Jerusalem,Israel,EMEA,EMEA
CM-2655,Corinna Mitchell,Home Office,Plovdiv,Plovdiv,Bulgaria,EMEA,EMEA
PL-8925,Paul Lucas,Home Office,Taza,Taza-Al Hoceima-Taounate,Morocco,Africa,Africa
BT-1395,Bill Tyler,Corporate,Tetouan,Tanger-Tétouan,Morocco,Africa,Africa
DW-13540,Don Weiss,Consumer,New York City,New York,United States,US,East
RW-9690,Robert Waldorf,Consumer,Sanandaj,Kordestan,Iran,EMEA,EMEA
DA-3450,Dianna Arnett,Home Office,Amman,'Amman,Jordan,EMEA,EMEA
AZ-750,Annie Zypern,Consumer,Minna,Niger,Nigeria,Africa,Africa
DB-2970,Darren Budd,Corporate,Tbilisi,Tbilisi,Georgia,EMEA,EMEA
JW-6075,Julia West,Consumer,Lusaka,Lusaka,Zambia,Africa,Africa
GK-4620,Grace Kelly,Corporate,Khouribga,Chaouia-Ouardigha,Morocco,Africa,Africa
JH-6180,Justin Hirsh,Consumer,Baghdad,Baghdad,Iraq,EMEA,EMEA
RB-9330,Randy Bradley,Consumer,Donets'k,Donetsk,Ukraine,EMEA,EMEA
AM-360,Alice McCarthy,Corporate,Maiduguri,Borno,Nigeria,Africa,Africa
CJ-1875,Carl Jackson,Corporate,Sosnowiec,Silesia,Poland,EMEA,EMEA
DL-2925,Daniel Lacy,Consumer,Soma,Manisa,Turkey,EMEA,EMEA
AH-585,Angele Hood,Consumer,Vienna,Vienna,Austria,EMEA,EMEA
CG-2520,Claire Gute,Consumer,Sohag,Suhaj,Egypt,Africa,Africa
ED-3885,Emily Ducich,Home Office,Montréal,Quebec,Canada,Canada,Canada
VG-11805,Vivek Grady,Corporate,Jeddah,Makkah,Saudi Arabia,EMEA,EMEA
EH-4005,Erica Hernandez,Home Office,Beira,Sofala,Mozambique,Africa,Africa
RS-9765,Roland Schwarz,Corporate,Ufa,Bashkortostan,Russia,EMEA,EMEA
EB-3840,Ellis Ballard,Corporate,Bur Sudan,Red Sea,Sudan,Africa,Africa
BS-1590,Brendan Sweed,Corporate,Bangui,Bangui,Central African Republic,Africa,Africa
Co-2640,Corey-Lock,Consumer,Obninsk,Kaluga,Russia,EMEA,EMEA
CM-2160,Charles McCrossin,Consumer,Algiers,Alger,Algeria,Africa,Africa
LT-6765,Larry Tron,Consumer,Durban,Kwazulu-natal,South Africa,Africa,Africa
SC-10260,Scott Cohen,Corporate,Istanbul,Istanbul,Turkey,EMEA,EMEA
TB-11595,Troy Blackwell,Consumer,Chelyabinsk,Chelyabinsk,Russia,EMEA,EMEA
JB-5400,Jennifer Braxton,Corporate,Johannesburg,Gauteng,South Africa,Africa,Africa
MZ-7335,Maria Zettner,Home Office,Riyadh,Ar Riyad,Saudi Arabia,EMEA,EMEA
HK-4890,Heather Kirkland,Corporate,London,Ontario,Canada,Canada,Canada
SC-10380,Shahid Collister,Consumer,Homs,Hims,Syria,EMEA,EMEA
BS-1365,Bill Shonely,Corporate,Accra,Greater Accra,Ghana,Africa,Africa
IL-5100,Ivan Liston,Consumer,Al Hillah,Babil,Iraq,EMEA,EMEA
BG-1035,Barry Gonzalez,Consumer,Panevezys,Panevezys,Lithuania,EMEA,EMEA
AH-690,Anna Häberlin,Corporate,Beykoz,Istanbul,Turkey,EMEA,EMEA
AH-120,Adrian Hane,Home Office,Johannesburg,Gauteng,South Africa,Africa,Africa
HZ-4950,Henia Zydlo,Consumer,Benin City,Edo,Nigeria,Africa,Africa
LP-7080,Liz Pelletier,Consumer,Mykolayiv,Mykolayiv,Ukraine,EMEA,EMEA
SS-10590,Sonia Sunley,Consumer,Atakpame,Plateaux,Togo,Africa,Africa
ML-8040,Michelle Lonsdale,Corporate,Abidjan,Lagunes,Cote d'Ivoire,Africa,Africa
MF-8250,Monica Federle,Corporate,Ashgabat,Ashgabat,Turkmenistan,EMEA,EMEA
JK-5205,Jamie Kunitz,Consumer,Mosul,Ninawa,Iraq,EMEA,EMEA
TM-11010,Tamara Manning,Consumer,Cairo,Al Qahirah,Egypt,Africa,Africa
EM-4095,Eudokia Martin,Corporate,Antananarivo,Analamanga,Madagascar,Africa,Africa
RA-9915,Russell Applegate,Consumer,Khomeynishahr,Esfahan,Iran,EMEA,EMEA
CK-2595,Clytie Kelty,Consumer,Asyut,Asyut,Egypt,Africa,Africa
GM-4440,Gary McGarr,Consumer,Beni Suef,Bani Suwayf,Egypt,Africa,Africa
JP-5520,Jeremy Pistek,Consumer,Dar es Salaam,Dar Es Salaam,Tanzania,Africa,Africa
DB-3210,Dean Braden,Consumer,Ankara,Ankara,Turkey,EMEA,EMEA
PT-9090,Pete Takahito,Consumer,Tripoli,North Lebanon,Lebanon,EMEA,EMEA
JB-15925,Joni Blumstein,Consumer,Trier,Rhineland-Palatinate,Germany,EU,Central
AG-765,Anthony Garverick,Home Office,Sapele,Delta,Nigeria,Africa,Africa
EM-4140,Eugene Moren,Home Office,Casablanca,Grand Casablanca,Morocco,Africa,Africa
NG-8355,Nat Gilpin,Corporate,Bacau,Bacau,Romania,EMEA,EMEA
BB-1545,Brenda Bowman,Corporate,Sale,Rabat-Salé-Zemmour-Zaer,Morocco,Africa,Africa
LP-7095,Liz Preis,Consumer,St. Catharines,Ontario,Canada,Canada,Canada
CS-11845,Cari Sayre,Corporate,Pekanbaru,Riau,Indonesia,APAC,Southeast Asia
NL-8310,Nancy Lomonaco,Home Office,Asyut,Asyut,Egypt,Africa,Africa
HP-4815,Harold Pawlan,Home Office,Lublin,Lublin,Poland,EMEA,EMEA
CM-2385,Christopher Martinez,Consumer,Johannesburg,Gauteng,South Africa,Africa,Africa
DP-3105,Dave Poirier,Corporate,Bertoua,Est,Cameroon,Africa,Africa
HR-14770,Hallie Redmond,Home Office,Bordeaux,Aquitaine,France,EU,Central
BE-1335,Bill Eplett,Home Office,Zlatoust,Chelyabinsk,Russia,EMEA,EMEA
PC-9000,Pauline Chand,Home Office,Lagos,Lagos,Nigeria,Africa,Africa
KN-6705,Kristina Nunn,Home Office,Sivas,Sivas,Turkey,EMEA,EMEA
NF-18595,Nicole Fjeld,Home Office,Singapore,Singapore,Singapore,APAC,Southeast Asia
PK-8910,Paul Knutson,Home Office,Mersin,Mersin,Turkey,EMEA,EMEA
JF-5415,Jennifer Ferguson,Consumer,Urganch,Khorezm,Uzbekistan,EMEA,EMEA
KW-6570,Kelly Williams,Consumer,Brasov,Brasov,Romania,EMEA,EMEA
KE-6420,Katrina Edelman,Corporate,Tembisa,Gauteng,South Africa,Africa,Africa
JS-5685,Jim Sink,Corporate,Sanandaj,Kordestan,Iran,EMEA,EMEA
MC-8130,Mike Caudle,Corporate,Lagos,Lagos,Nigeria,Africa,Africa
MR-7545,Mathew Reese,Home Office,Kharkiv,Kharkiv,Ukraine,EMEA,EMEA
AH-75,Adam Hart,Corporate,Aligudarz,Lorestan,Iran,EMEA,EMEA
BF-11275,Beth Fritzler,Corporate,Lyon,Rhône-Alpes,France,EU,Central
PW-9240,Pierre Wener,Consumer,Qarshi,Qashqadaryo,Uzbekistan,EMEA,EMEA
KM-6375,Katherine Murray,Home Office,Winnipeg,Manitoba,Canada,Canada,Canada
JH-5910,Jonathan Howell,Consumer,Kutahya,Kutahya,Turkey,EMEA,EMEA
CM-2235,Chris McAfee,Consumer,Rasht,Gilan,Iran,EMEA,EMEA
SV-10365,Seth Vernon,Consumer,Istanbul,Istanbul,Turkey,EMEA,EMEA
JE-5475,Jeremy Ellison,Consumer,Khmel'nyts'kyy,Khmel'nyts'kyy,Ukraine,EMEA,EMEA
MO-7800,Meg O'Connel,Home Office,Arzgir,Stavropol',Russia,EMEA,EMEA
EB-4170,Evan Bailliet,Consumer,Kananga,Kasai-Occidental,Democratic Republic of the Congo,Africa,Africa
MG-7695,Maureen Gnade,Consumer,Gebze,Kocaeli,Turkey,EMEA,EMEA
AS-630,Ann Steele,Home Office,Abidjan,Lagunes,Cote d'Ivoire,Africa,Africa
AI-855,Arianne Irving,Consumer,Casablanca,Grand Casablanca,Morocco,Africa,Africa
LC-6870,Lena Cacioppo,Consumer,Chelyabinsk,Chelyabinsk,Russia,EMEA,EMEA
PW-9030,Pauline Webber,Corporate,Turkmenabat,Lebap,Turkmenistan,EMEA,EMEA
DK-3225,Dean Katz,Corporate,Mogadishu,Banaadir,Somalia,Africa,Africa
MD-7860,Michael Dominguez,Corporate,Poltava,Poltava,Ukraine,EMEA,EMEA
GT-4710,Greg Tran,Consumer,Sarajevo,Federation of Bosnia and Herzegovina,Bosnia and Herzegovina,EMEA,EMEA
SW-10275,Scott Williamson,Consumer,Iasi,Iasi,Romania,EMEA,EMEA
JH-5820,John Huston,Consumer,Ardabil,Ardabil,Iran,EMEA,EMEA
CC-2610,Corey Catlett,Corporate,Samsun,Samsun,Turkey,EMEA,EMEA
DB-3405,Denny Blanton,Consumer,Istanbul,Istanbul,Turkey,EMEA,EMEA
TS-11160,Theresa Swint,Corporate,Warsaw,Masovia,Poland,EMEA,EMEA
MP-8175,Mike Pelletier,Home Office,Bamako,Bamako,Mali,Africa,Africa
PO-9195,Phillina Ober,Home Office,Casablanca,Grand Casablanca,Morocco,Africa,Africa
KM-6720,Kunst Miller,Consumer,Afyon,Afyonkarahisar,Turkey,EMEA,EMEA
PG-8895,Paul Gonzalez,Consumer,Lubumbashi,Katanga,Democratic Republic of the Congo,Africa,Africa
SV-10815,Stuart Van,Corporate,Dire Dawa,Dire Dawa,Ethiopia,Africa,Africa
DS-3030,Darrin Sayre,Home Office,Maputo,Cidade De Maputo,Mozambique,Africa,Africa
FG-14260,Frank Gastineau,Home Office,Duisburg,North Rhine-Westphalia,Germany,EU,Central
KL-6555,Kelly Lampkin,Corporate,Irkutsk,Irkutsk,Russia,EMEA,EMEA
AF-870,Art Ferguson,Consumer,Hrodna,Hrodna,Belarus,EMEA,EMEA
IG-15085,Ivan Gibson,Consumer,Zacatecas,Zacatecas,Mexico,LATAM,North
SC-10725,Steven Cartwright,Consumer,Ufa,Bashkortostan,Russia,EMEA,EMEA
CA-2055,Cathy Armstrong,Home Office,Mosul,Ninawa,Iraq,EMEA,EMEA
VM-21835,Vivian Mathis,Consumer,Walsall,England,United Kingdom,EU,North
LD-6855,Lela Donovan,Corporate,Lagos,Lagos,Nigeria,Africa,Africa
JW-5220,Jane Waco,Corporate,Bursa,Bursa,Turkey,EMEA,EMEA
GH-4425,Gary Hwang,Consumer,Beni Suef,Bani Suwayf,Egypt,Africa,Africa
BS-1755,Bruce Stewart,Consumer,Casablanca,Grand Casablanca,Morocco,Africa,Africa
EB-3975,Erica Bern,Corporate,Tbilisi,Tbilisi,Georgia,EMEA,EMEA
SC-10845,Sung Chung,Consumer,Nouakchott,Nouakchott,Mauritania,Africa,Africa
KL-6645,Ken Lonsdale,Consumer,Etimesgut,Ankara,Turkey,EMEA,EMEA
NF-8385,Natalie Fritzler,Consumer,Montréal,Quebec,Canada,Canada,Canada
JD-6015,Joy Daniels,Consumer,Budapest,Budapest,Hungary,EMEA,EMEA
EH-3765,Edward Hooks,Corporate,Kano,Kano,Nigeria,Africa,Africa
EJ-4155,Eva Jacobs,Consumer,Al Mahallah al Kubra,Al Gharbiyah,Egypt,Africa,Africa
BS-11365,Bill Shonely,Corporate,São Vicente,São Paulo,Brazil,LATAM,South
SV-10785,Stewart Visinsky,Consumer,Antananarivo,Analamanga,Madagascar,Africa,Africa
GT-4635,Grant Thornton,Corporate,Buzau,Buzau,Romania,EMEA,EMEA
BE-1455,Brad Eason,Home Office,Zagreb,Grad Zagreb,Croatia,EMEA,EMEA
